Category,Title,Author(s),Folder Name,Screenshot Filename,Short Description
Casual Game,Sue's Cozy Goat Farm,Tandy Grubbs,suesgoatfarm,suesgoatfarm.png,"Explore your surroundings, find goats, and bring them back to the barn before nightfall.  The goats may not follow you unless you offer them something.  Beware of bears."
Casual Game,Mahjong Solitaire,Tandy Grubbs,mahjong,mahjong.png,"Mahjong Solitaire, the classic tile-matching puzzle game."
Casual Game,Poker Solitaire,Tandy Grubbs,solitaire,solitaire.png,The classic Poker card stacking solitaire game played with a standard pack of 52 playing cards.
Physics,Penduloodle,Tandy Grubbs,penduloodle,penduloodle.png,"Create your own pendulum painting.  Penduloodle allows you to undertake physics-based art as a Newtonian dynamic simulation to generate intricate, swirling Spirographic patterns on a virtual canvas. "
Chemistry,Chemical Reaction Dynamics - Langevin Model,Tandy Grubbs,langevindynamics,langevindynamics.png,"A chemistry-physics simulation that allows one to explore the dynamic, random motion of reactant molecules transitioning to product molecules over an energy barrier."
Chemistry,Virtual Titration Lab,Tandy Grubbs,virtualtitrator,virtualtitrator.png,A virtual lab where you titrate an unknown weak acid solution with a strong base solution in order to determine the molarity and pKa of the weak acid.
Chemistry,Organic Nomenclature,Tandy Grubbs,organicnomenclature,organicnomenclature.png,"Practice your ability to name organic compounds.  Master IUPAC naming conventions for organic chains up to 10 carbons, identifying the parent chain, function group, and substiuents for each compound."
Chemistry,Mahjong Chem,Tandy Grubbs,mahjongchem,mahjongchem.png,"A mahjong-styled tile-matching game for introductory and AP Chemistry students.  Several board layouts are offered that challenge players to match polyatomic ion names with the appropriate formula, metric prefixes with the appropriate base-10 exponent, and element names with symbols."
Chemistry,Kinetic Molecular Gas Simulation,Tandy Grubbs,kineticmoleculargas,kineticmoleculargas.png,"A chemistry-physics simulation whereby users can explore principles of kinetic molecular theory and better understand how the speeds and kinetic energy of particles are impacted by changes in temperature, particle mass, and volume."
Chemistry,VSEPR,Tandy Grubbs,vsepr,vsepr.png,"Explore principles of VSEPR theory as you are challenged to identify the shapes of chemical compounds, as well as the number of bonding domains, lone pairs, bond angles, and hybridization."
Chemistry,Atomic Orbitals - Quantum Mechanics Sandbox,Ritika Mora and Gia Gia Vo,atomicorbitals,atomicorbitals.png,"Visualize and explore the underlying characteristics of atomic orbitals, including their shapes, quantum numbers, and spectral absorption and emission wavelengths for transitions between electronic energy states. "
Chemistry,Le Chatelier Principle,Brecken O'Leary,lechatelier,lechatelier.png,"Apply stresses to a chemical equilibrium to see if the reaction shifts toward products or reactants.  Investigate how changes in concentration, temperature, and pressure impact the reaction quotient and the position of equilibrium."
Math,Mandelbrot Renderer,Tandy Grubbs,mandelbrot,mandelbrot.png,"Graphically zoom in and explore the famous mathematical Mandelbrot set to reveal the infinite, repeating detail of this complex fractal structure."
